file_name,threshold
Fingerprick_HL_2023-01-27_B01_2023-02-17_13-04-48.321619.csv,0.6574007
Fingerprick_HL_2023-01-27_B02_2023-02-17_15-31-53.777898.csv,0.010182977
Fingerprick_HL_2023-01-27_B03_2023-02-17_15-50-57.776833.csv,0.99772197
Fingerprick_HL_2023-01-27_C02_2023-02-17_16-13-57.571627.csv,0.37174785
Fingerprick_HL_2023-01-27_C03_2023-02-17_16-35-37.082487.csv,0.81102055
SBC_2022-02-22_4uL-Med-A_2023-02-21_17-56-27.851194.csv,0.7769985
SBC_2022-02-22_4uL-Med-B_2023-02-21_18-28-0.005527.csv,0.25133905
SBC_2022-03-14_3uL-Med-C_2023-02-21_18-59-7.099675.csv,0.8736209
SBC_2022-10-20_LIR01-A_2023-02-21_16-35-33.147488.csv,0.2262525
SBC_2022-10-20_LIR01-B_2023-02-21_16-55-6.258406.csv,0.9386298
SBC_2022-10-20_LIR01-C_2023-02-21_17-19-31.401096.csv,0.88155967
SBC_2022-10-20_LIR01-D_2023-02-21_17-40-55.531778.csv,0.8279586
SBC_2022-10-20_LIR02-A_2023-02-17_17-03-20.981024.csv,0.13330305
SBC_2022-10-20_LIR02-B_2023-02-21_16-14-17.600472.csv,0.3493041
SBC20230602_10G_2023-06-05_15-40-40.477123.csv,0.3974272
SBC20230602_10H_2023-06-05_16-05-15.992938.csv,0.59545094
SBC20230602_1A_2023-09-03_18-27-3.521005.csv,0.3323985
SBC20230602_1B_2023-09-03_18-48-12.880612.csv,0.21793598
SBC20230602_1C_2023-09-03_19-07-30.124986.csv,0.089369655
SBC20230602_1D_2023-09-09_15-04-0.086483.csv,0.0034282075
SBC20230602_1E_2023-09-09_15-33-10.541948.csv,0.16615424
SBC20230602_1F_2023-06-03_15-15-38.885630.csv,0.0483987
SBC20230602_1G_2023-09-09_16-08-18.397964.csv,0.0062424773
SBC20230602_1I_2023-06-03_15-41-32.961319.csv,0.15474814
SBC20230602_2A_2023-06-03_16-04-45.484949.csv,0.85886794
SBC20230602_2B_2023-06-03_16-39-26.873551.csv,0.05215822
SBC20230602_2C_gain12_2023-09-03_19-27-40.845769.csv,0.02260892
SBC20230602_2D_2023-09-05_16-36-23.026934.csv,0.32549912
SBC20230602_2E_2023-09-05_17-07-50.140376.csv,0.103694685
SBC20230602_2F_2023-09-07_10-45-10.806639.csv,0.5775239
SBC20230602_2G_2023-09-08_13-10-59.533667.csv,0.09633932
SBC20230602_2H_2023-09-08_12-42-19.453860.csv,0.58471984
SBC20230602_3A_2023-06-03_17-05-9.165534.csv,0.60835797
SBC20230602_3B_2023-06-03_17-45-18.973434.csv,0.9510616
SBC20230602_3B_2023-09-08_17-12-35.643016.csv,0.03709731
SBC20230602_3C_2023-09-05_18-21-45.975088.csv,0.16924872
SBC20230602_3D_2023-09-12_18-15-0.544268.csv,0.07074902
SBC20230602_3E_2023-09-12_19-43-50.164788.csv,0.015321297
SBC20230602_3F_2023-09-09_12-33-26.814161.csv,0.12294785
SBC20230602_3H_2023-09-09_13-03-5.816948.csv,0.100035466
SBC20230602_4A_2023-06-04_20-53-34.948404.csv,0.06452967
SBC20230602_4B_2023-06-04_21-23-20.771865.csv,0.98770845
SBC20230602_4C_2023-09-12_20-12-34.999144.csv,0.42290384
SBC20230602_4D_2023-09-12_20-28-50.681172.csv,0.8799754
SBC20230602_4E_2023-09-13_11-55-48.496584.csv,0.186307
SBC20230602_4F_2023-09-09_13-32-10.476327.csv,0.44542733
SBC20230602_4G_2023-09-09_14-00-12.684095.csv,0.9904862
SBC20230602_4H_2023-09-09_14-33-52.399491.csv,0.9834711
SBC20230602_5A_2023-09-14_11-49-37.422086.csv,0.97375417
SBC20230602_5B_2023-06-04_21-45-54.703688.csv,0.9633773
SBC20230602_5C_2023-09-14_11-21-21.359509.csv,0.98871404
SBC20230602_5D_2023-09-13_15-49-6.950339.csv,0.9950264
SBC20230602_5E_2023-06-04_22-14-33.244160.csv,0.992297
SBC20230602_5E_2023-09-11_19-20-31.015196.csv,0.99736834
SBC20230602_5G_2023-09-12_11-32-7.388357.csv,0.99758077
SBC20230602_6A_2023-06-04_22-56-0.605442.csv,0.31560126
SBC20230602_6A_2023-09-12_13-35-41.803347.csv,0.99903595
SBC20230602_6B_2023-09-13_14-49-27.853815.csv,0.9080531
SBC20230602_6C_2023-09-12_13-06-28.891321.csv,0.99830496
SBC20230602_6C_2023-09-13_13-50-41.891948.csv,0.9986104
SBC20230602_6D_2023-09-13_12-24-12.655819.csv,0.987336
SBC20230602_6F_2023-06-05_09-38-38.551565.csv,0.8898793
SBC20230602_6G_2023-09-12_14-34-57.606346.csv,0.5521952
SBC20230602_7A_2023-09-13_12-53-6.636236.csv,0.8878495
SBC20230602_7B_2023-09-13_13-22-49.072435.csv,0.90148515
SBC20230602_7C_2023-06-05_09-53-46.290586.csv,0.82560074
SBC20230602_7D_2023-09-13_14-21-57.792135.csv,0.97763157
SBC20230602_7E_2023-09-12_10-30-57.125030.csv,0.97565186
SBC20230602_7F_2023-09-12_10-01-32.033830.csv,0.6058526
SBC20230602_7G_2023-09-12_11-02-6.708794.csv,0.8723887
SBC20230602_7I_2023-06-05_11-54-45.972269.csv,0.33005634
SBC20230602_8A_2023-09-13_15-20-6.800919.csv,0.9138355
SBC20230602_8B_2023-09-13_16-24-18.277232.csv,0.021711955
SBC20230602_8C_2023-09-14_12-22-41.129097.csv,0.1274216
SBC20230602_8D_2023-06-05_12-19-16.486962.csv,0.001553332
SBC20230602_8E_2023-06-05_13-04-7.207704.csv,0.0222052
SBC20230602_8F_2023-09-12_12-37-53.563138.csv,0.03609777
SBC20230602_8G_2023-09-12_14-07-1.846792.csv,0.41930827
SBC20230602_8H_2023-09-14_12-52-0.168034.csv,0.10031432
SBC20230602_9D_2023-06-05_14-20-55.465888.csv,0.930119
SBC20230602_9F_2023-06-05_14-36-4.257248.csv,0.031940594
